t,x,v
4.65,1.63686,-0.0967465
4.66,1.63589,-0.0968687
4.67,1.63492,-0.0969914
4.68,1.63395,-0.0971146
4.69,1.63298,-0.0972382
4.7,1.632,-0.0973624
4.71,1.63103,-0.0974871
4.72,1.63005,-0.0976123
4.73,1.62908,-0.097738
4.74,1.6281,-0.0978642
4.75,1.62712,-0.097991
4.76,1.62614,-0.0981182
4.77,1.62516,-0.098246
4.78,1.62417,-0.0983744
4.79,1.62319,-0.0985032
4.8,1.6222,-0.0986326
4.81,1.62122,-0.0987626
4.82,1.62023,-0.0988931
4.83,1.61924,-0.0990241
4.84,1.61825,-0.0991557
4.85,1.61726,-0.0992879
4.86,1.61626,-0.0994206
4.87,1.61527,-0.0995539
4.88,1.61427,-0.0996877
4.89,1.61327,-0.0998221
4.9,1.61227,-0.0999572
4.91,1.61127,-0.100093
4.92,1.61027,-0.100229
4.93,1.60927,-0.100366
4.94,1.60827,-0.100503
4.95,1.60726,-0.100641
4.96,1.60625,-0.10078
4.97,1.60524,-0.100919
4.98,1.60423,-0.101059
4.99,1.60322,-0.101199
5,1.60221,-0.10134
5.01,1.6012,-0.101482
5.02,1.60018,-0.101624
5.03,1.59916,-0.101767
5.04,1.59815,-0.10191
5.05,1.59713,-0.102055
5.06,1.5961,-0.102199
5.07,1.59508,-0.102345
5.08,1.59406,-0.102491
5.09,1.59303,-0.102638
5.1,1.592,-0.102785
5.11,1.59098,-0.102934
5.12,1.58995,-0.103082
5.13,1.58891,-0.103232
5.14,1.58788,-0.103382
5.15,1.58685,-0.103533
5.16,1.58581,-0.103685
5.17,1.58477,-0.103837
5.18,1.58373,-0.10399
5.19,1.58269,-0.104144
5.2,1.58165,-0.104298
5.21,1.58061,-0.104454
5.22,1.57956,-0.10461
5.23,1.57852,-0.104766
5.24,1.57747,-0.104924
5.25,1.57642,-0.105082
5.26,1.57537,-0.105241
5.27,1.57431,-0.105401
5.28,1.57326,-0.105561
5.29,1.5722,-0.105722
5.3,1.57114,-0.105884
5.31,1.57008,-0.106047
5.32,1.56902,-0.106211
5.33,1.56796,-0.106375
5.34,1.56689,-0.10654
5.35,1.56583,-0.106706
5.36,1.56476,-0.106873
5.37,1.56369,-0.107041
5.38,1.56262,-0.10721
5.39,1.56155,-0.107379
5.4,1.56047,-0.107549
5.41,1.5594,-0.10772
5.42,1.55832,-0.107892
5.43,1.55724,-0.108065
5.44,1.55616,-0.108239
5.45,1.55507,-0.108413
5.46,1.55399,-0.108589
5.47,1.5529,-0.108765
5.48,1.55181,-0.108942
5.49,1.55072,-0.10912
5.5,1.54963,-0.1093
5.51,1.54854,-0.10948
5.52,1.54744,-0.109661
5.53,1.54634,-0.109842
5.54,1.54524,-0.110025
5.55,1.54414,-0.110209
5.56,1.54304,-0.110394
5.57,1.54193,-0.11058
5.58,1.54083,-0.110767
5.59,1.53972,-0.110954
5.6,1.53861,-0.111143
5.61,1.5375,-0.111333
5.62,1.53638,-0.111524
5.63,1.53527,-0.111716
5.64,1.53415,-0.111909
5.65,1.53303,-0.112103
5.66,1.53191,-0.112298
5.67,1.53078,-0.112494
5.68,1.52966,-0.112691
5.69,1.52853,-0.112889
5.7,1.5274,-0.113088
5.71,1.52627,-0.113289
5.72,1.52513,-0.11349
5.73,1.524,-0.113693
5.74,1.52286,-0.113897
5.75,1.52172,-0.114102
5.76,1.52058,-0.114308
5.77,1.51943,-0.114516
5.78,1.51829,-0.114724
5.79,1.51714,-0.114934
5.8,1.51599,-0.115145
5.81,1.51483,-0.115357
5.82,1.51368,-0.11557
5.83,1.51252,-0.115785
5.84,1.51136,-0.116001
5.85,1.5102,-0.116218
5.86,1.50904,-0.116437
5.87,1.50787,-0.116656
5.88,1.50671,-0.116877
5.89,1.50554,-0.1171
5.9,1.50437,-0.117323
5.91,1.50319,-0.117548
5.92,1.50201,-0.117775
5.93,1.50084,-0.118003
5.94,1.49965,-0.118232
5.95,1.49847,-0.118462
5.96,1.49728,-0.118694
5.97,1.4961,-0.118928
5.98,1.49491,-0.119162
5.99,1.49371,-0.119399
6,1.49252,-0.119636
6.01,1.49132,-0.119876
6.02,1.49012,-0.120116
6.03,1.48892,-0.120359
6.04,1.48771,-0.120602
6.05,1.48651,-0.120848
6.06,1.4853,-0.121095
6.07,1.48408,-0.121343
6.08,1.48287,-0.121593
6.09,1.48165,-0.121845
6.1,1.48043,-0.122098
6.11,1.47921,-0.122353
6.12,1.47799,-0.12261
6.13,1.47676,-0.122868
6.14,1.47553,-0.123128
6.15,1.4743,-0.12339
6.16,1.47306,-0.123653
6.17,1.47182,-0.123918
6.18,1.47058,-0.124185
6.19,1.46934,-0.124454
6.2,1.46809,-0.124725
6.21,1.46684,-0.124997
6.22,1.46559,-0.125271
6.23,1.46434,-0.125548
6.24,1.46308,-0.125826
6.25,1.46182,-0.126106
6.26,1.46056,-0.126388
6.27,1.45929,-0.126672
6.28,1.45803,-0.126957
6.29,1.45676,-0.127245
6.3,1.45548,-0.127535
6.31,1.4542,-0.127827
6.32,1.45293,-0.128121
6.33,1.45164,-0.128417
6.34,1.45036,-0.128716
6.35,1.44907,-0.129016
6.36,1.44778,-0.129319
6.37,1.44648,-0.129623
6.38,1.44518,-0.129931
6.39,1.44388,-0.13024
6.4,1.44258,-0.130551
6.41,1.44127,-0.130865
6.42,1.43996,-0.131182
6.43,1.43865,-0.1315
6.44,1.43733,-0.131821
6.45,1.43601,-0.132145
6.46,1.43469,-0.13247
6.47,1.43336,-0.132799
6.48,1.43203,-0.13313
6.49,1.4307,-0.133463
6.5,1.42936,-0.133799
6.51,1.42802,-0.134138
6.52,1.42668,-0.134479
6.53,1.42533,-0.134823
6.54,1.42398,-0.13517
6.55,1.42263,-0.135519
6.56,1.42127,-0.135871
6.57,1.41991,-0.136226
6.58,1.41855,-0.136584
6.59,1.41718,-0.136945
6.6,1.41581,-0.137309
6.61,1.41444,-0.137675
6.62,1.41306,-0.138045
6.63,1.41167,-0.138418
6.64,1.41029,-0.138794
6.65,1.4089,-0.139173
6.66,1.40751,-0.139555
6.67,1.40611,-0.13994
6.68,1.40471,-0.140329
6.69,1.4033,-0.140721
6.7,1.40189,-0.141116
6.71,1.40048,-0.141515
6.72,1.39906,-0.141917
6.73,1.39764,-0.142322
6.74,1.39622,-0.142732
6.75,1.39479,-0.143144
6.76,1.39335,-0.143561
6.77,1.39191,-0.143981
6.78,1.39047,-0.144405
6.79,1.38903,-0.144832
6.8,1.38758,-0.145264
6.81,1.38612,-0.145699
6.82,1.38466,-0.146139
6.83,1.3832,-0.146582
6.84,1.38173,-0.14703
6.85,1.38026,-0.147482
6.86,1.37878,-0.147938
6.87,1.3773,-0.148398
6.88,1.37581,-0.148862
6.89,1.37432,-0.149331
6.9,1.37283,-0.149805
6.91,1.37133,-0.150283
6.92,1.36982,-0.150766
6.93,1.36831,-0.151253
6.94,1.3668,-0.151745
6.95,1.36528,-0.152242
6.96,1.36375,-0.152744
6.97,1.36222,-0.153251
6.98,1.36069,-0.153763
6.99,1.35915,-0.15428
7,1.3576,-0.154802
7.01,1.35605,-0.15533
7.02,1.35449,-0.155863
7.03,1.35293,-0.156401
7.04,1.35137,-0.156946
7.05,1.34979,-0.157495
7.06,1.34822,-0.158051
7.07,1.34663,-0.158613
7.08,1.34504,-0.15918
7.09,1.34345,-0.159754
7.1,1.34185,-0.160333
7.11,1.34024,-0.160919
7.12,1.33863,-0.161512
7.13,1.33701,-0.162111
7.14,1.33539,-0.162716
7.15,1.33376,-0.163329
7.16,1.33212,-0.163948
7.17,1.33048,-0.164574
7.18,1.32883,-0.165208
7.19,1.32717,-0.165848
7.2,1.32551,-0.166496
7.21,1.32384,-0.167151
7.22,1.32217,-0.167815
7.23,1.32049,-0.168485
7.24,1.3188,-0.169164
7.25,1.3171,-0.169851
7.26,1.3154,-0.170546
7.27,1.31369,-0.17125
7.28,1.31198,-0.171962
7.29,1.31025,-0.172683
7.3,1.30852,-0.173412
7.31,1.30679,-0.174151
7.32,1.30504,-0.174899
7.33,1.30329,-0.175657
7.34,1.30153,-0.176424
7.35,1.29976,-0.177201
7.36,1.29798,-0.177987
7.37,1.2962,-0.178785
7.38,1.29441,-0.179592
7.39,1.29261,-0.18041
7.4,1.2908,-0.181239
7.41,1.28898,-0.182079
7.42,1.28716,-0.182931
7.43,1.28532,-0.183794
7.44,1.28348,-0.184668
7.45,1.28163,-0.185555
7.46,1.27977,-0.186454
7.47,1.2779,-0.187366
7.48,1.27602,-0.188291
7.49,1.27414,-0.189228
7.5,1.27224,-0.19018
7.51,1.27033,-0.191145
7.52,1.26842,-0.192124
7.53,1.26649,-0.193117
7.54,1.26455,-0.194125
7.55,1.26261,-0.195148
7.56,1.26065,-0.196187
7.57,1.25868,-0.197241
7.58,1.25671,-0.198312
7.59,1.25472,-0.199399
7.6,1.25272,-0.200503
7.61,1.25071,-0.201624
7.62,1.24869,-0.202763
7.63,1.24665,-0.20392
7.64,1.24461,-0.205096
7.65,1.24255,-0.206291
7.66,1.24048,-0.207506
7.67,1.2384,-0.20874
7.68,1.23631,-0.209996
7.69,1.2342,-0.211272
7.7,1.23208,-0.21257
7.71,1.22995,-0.213891
7.72,1.2278,-0.215234
7.73,1.22564,-0.216601
7.74,1.22347,-0.217992
7.75,1.22128,-0.219407
7.76,1.21908,-0.220848
7.77,1.21687,-0.222316
7.78,1.21464,-0.22381
7.79,1.21239,-0.225331
7.8,1.21013,-0.226882
7.81,1.20785,-0.228461
7.82,1.20556,-0.23007
7.83,1.20325,-0.231711
7.84,1.20093,-0.233383
